date,300106.XSHE,002321.XSHE,600265.XSHG,300498.XSHE,600540.XSHG,000998.XSHE,600097.XSHG,600313.XSHG,300143.XSHE,600467.XSHG,600975.XSHG,002069.XSHE,002772.XSHE,002086.XSHE,601118.XSHG,000713.XSHE,300087.XSHE,600965.XSHG,002447.XSHE,300313.XSHE,600354.XSHG,002234.XSHE,000735.XSHE,600371.XSHG,002200.XSHE,002458.XSHE,600108.XSHG,002746.XSHE,000592.XSHE,300094.XSHE,600257.XSHG,002477.XSHE,000798.XSHE,002041.XSHE,600598.XSHG,002679.XSHE,300189.XSHE,600359.XSHG,600506.XSHG,000711.XSHE,002714.XSHE,300511.XSHE,002696.XSHE
7/1/2016,14.6388,9.47,25.31,36.1139,7.78,18.9,15.4,5.15,23.6,3.87,9.43,8.67,25.6521,8.72,5.57,10.52,11.12,12.89,7.16,16.3,7.92,30.6,6.45,15.83,18.82,44.72,5.0143,43.35,6.8,6.5486,11.29,5.85,11.65,15.24,10.63,22.6,5.5082,10.16,22.48,10.9646,25.582,69.6311,19.2
7/4/2016,15.0684,9.76,25.6,36.646,7.78,19.2,15.64,5.2,24.17,3.96,10.35,8.93,25.7018,9.03,6.13,10.69,11.46,13.1,7.16,16.6,8.23,31.08,6.7,16.01,19.78,46.4,5.1242,45.76,7,6.757,11.56,5.88,11.72,15.76,10.82,22.9,5.6981,11.18,22.62,10.9148,26.0787,72.792,19.67
7/5/2016,14.8886,9.83,25.64,36.4391,7.78,19.63,15.79,5.42,23.91,3.95,10.77,8.91,25.6023,9.04,6.22,10.86,11.51,13.15,7.16,16.58,8.25,31.34,6.67,16.12,19.41,45.9,5.2141,46.5,6.94,6.8113,11.31,5.88,11.7,15.89,10.78,22.99,5.918,10.97,22.72,11.3335,26.0688,76.9601,19.44
7/6/2016,14.8986,10.19,26.01,37.8383,7.78,20.25,16.19,5.54,23.66,4.35,10.62,8.97,25.3339,9.07,6.12,10.88,11.39,13.24,7.16,17.15,8.37,33.56,6.75,16.19,19.32,48.75,5.244,49.02,6.92,6.7977,11.42,6.07,12.49,16.4,11.06,23.18,6.038,10.87,22.68,11.2089,26.1284,74.7764,19.6
7/7/2016,14.6687,10.19,26.1,37.9467,7.78,20.01,16.21,5.52,23.87,4.79,10.24,9.09,24.7871,9.06,6.07,10.75,11.42,13.25,7.16,17.6,8.45,33.56,6.71,16.44,19.14,48.56,5.2241,48.49,6.87,6.8928,11.47,6.01,12.39,16.66,11.04,22.94,6.1879,11.17,23.03,11.0344,26.8735,74.7764,19.28
7/8/2016,14.5988,10.11,26.08,37.454,7.78,19.78,16.08,5.42,23.83,4.79,9.96,9.53,24.8069,9,6,10.67,11.51,13.61,7.16,17.16,8.23,33.21,6.62,16.24,19.19,48.28,5.234,47.71,6.88,6.8204,11.33,5.93,12.25,16.65,10.81,23.47,6.018,10.74,23.22,11.0195,26.18,73.2009,19
7/11/2016,14.5588,9.96,25.58,37.1879,7.78,20.1,15.91,5.33,22.6,4.79,10,9.47,24.5882,8.82,6.09,10.71,11.51,13.53,7.16,16.87,8.17,32.5,6.61,15.94,19.39,48.26,5.2041,47.67,6.84,6.7071,11.3,5.84,12.05,16.77,10.8,23.6,5.878,10.91,23.02,10.3915,25.7,67.2578,20.9
7/12/2016,14.8486,10.24,24.78,37.8284,7.78,20.59,16.07,5.4,22.36,4.79,9.8,9.52,24.3098,9.1,6.18,10.76,11.4,13.5,7.16,17.03,8.35,31.83,6.7,16.01,19.46,47.73,5.254,46.79,6.94,6.7887,11.29,5.86,12.01,16.78,11.12,23.8,5.958,11.05,22.89,10.5111,26.08,70.9772,22.98
7/13/2016,14.8086,10.27,24.69,38.3408,7.78,20.4,16.43,5.37,22.53,4.6,9.84,9.56,24.4888,9.36,6.3,10.77,11.41,13.49,7.16,17.07,8.3,31.81,6.8,16.3,19.5,48.28,5.274,46.81,6.96,6.92,11.57,5.85,11.87,16.5,11.05,24.9,6.028,11.32,23.26,10.9696,26.64,70,20.96
7/14/2016,14.309,10.11,24.56,39.2474,7.78,20.42,16.24,5.29,22.52,4.44,9.73,9.46,24.6777,9.35,6.29,10.83,11.25,13.66,7.16,17.15,8.49,32.4,6.78,16.07,19.47,48.15,5.274,47.49,6.88,6.75,11.63,5.84,11.93,16.45,11.01,24.57,5.968,11.2,23.42,11.0544,26.66,71.6,20.6
7/15/2016,14.319,10.17,24.81,39.9864,7.78,20.69,16.27,5.23,22.97,4.34,9.88,9.49,24.3794,9.3,6.21,10.75,11.5,13.58,7.16,16.87,8.39,32.68,6.81,16.66,19.68,49.88,5.22,47.65,7.17,7.01,11.38,5.96,11.81,16.34,10.9,23.95,5.9,10.97,23.22,10.9646,26.99,72.35,20.47
7/18/2016,14.59,10.29,24.67,39.9864,7.78,20.01,16.15,5.4,22.91,4.37,9.68,9.7,24.6081,9.24,6.1,10.59,11.37,13.52,7.16,16.5,8.22,35.4,6.82,16.26,20.42,53.26,5.19,51.29,7.42,6.8,11.9,6.01,11.64,16.23,11,23.18,5.77,10.53,23.14,11.0643,28.11,69.92,19.79
7/19/2016,15.03,10.41,24.69,39.3262,7.78,20.01,16.17,5.44,23.19,4.4,9.77,9.64,24.3794,9.27,6.15,10.68,11.65,13.41,7.16,16.53,8.3,34.6,6.77,16.23,20.39,51.46,5.39,51.94,7.41,6.8,12.08,5.93,11.82,16.34,11.26,23.51,5.84,10.57,23.09,11.0544,28.03,69.85,19.93
7/20/2016,15.01,10.29,24.74,39.1685,7.78,20.14,16.52,5.37,23.32,4.33,9.69,9.68,24.5882,9.25,6.26,10.78,11.62,13.54,7.16,16.72,8.25,33.82,6.73,16.32,20.28,51.03,5.36,50.8,7.24,6.68,12.13,5.89,12.08,16.73,11.43,23.46,5.82,10.45,23.16,11.0544,28.13,69.29,19.83
7/21/2016,14.73,10.18,24.85,38.9222,7.78,20.33,16.48,5.39,23.25,4.29,9.69,9.68,24.4092,9.2,6.26,10.75,11.52,13.58,7.16,16.79,8.25,33.5,6.76,16.38,20.3,50.37,5.38,50.07,7.23,6.61,11.78,5.87,11.98,17.18,11.4,23.41,5.78,10.49,23.37,11.0544,28.17,67.54,20.42
7/22/2016,14.49,10.08,24.42,38.1339,7.78,20,16.06,5.31,22.58,4.31,9.33,9.45,24.0414,9.11,6.12,10.64,11.43,13.45,7.16,16.48,8.1,32.75,6.67,16.07,20.22,48.42,5.24,48.35,7.18,6.57,11.72,5.78,11.8,16.61,11.19,22.87,5.68,10.45,22.86,11.0544,27.06,65.24,19.86
7/25/2016,14.35,10.14,24.28,38.528,7.78,19.87,16.4,5.3,24.84,4.32,10.24,9.52,23.8226,9.08,6.11,10.73,11.31,13.26,7.16,16.65,8.16,33.5,6.69,16,19.98,49.44,5.25,49.2,7.12,6.62,11.59,5.8,11.65,16.27,11.39,22.91,5.68,10.56,22.85,11.0544,27.26,64.35,19.87
