date,300106.XSHE,002321.XSHE,600265.XSHG,300498.XSHE,600540.XSHG,000998.XSHE,600097.XSHG,600313.XSHG,300143.XSHE,600467.XSHG,600975.XSHG,002069.XSHE,002772.XSHE,002086.XSHE,601118.XSHG,000713.XSHE,300087.XSHE,600965.XSHG,002447.XSHE,300313.XSHE,600354.XSHG,002234.XSHE,000735.XSHE,600371.XSHG,002200.XSHE,002458.XSHE,600108.XSHG,002746.XSHE,000592.XSHE,300094.XSHE,600257.XSHG,002477.XSHE,000798.XSHE,002041.XSHE,600598.XSHG,002679.XSHE,300189.XSHE,600359.XSHG,600506.XSHG,000711.XSHE,002714.XSHE,300511.XSHE,002696.XSHE
1/4/2013,7.2763,6.79,5.73,,4.2692,9.88,11.5992,2.7919,8.84,3.4405,3.0172,15.0772,,5.3127,5.6742,10.5361,4.2161,4.2437,7.3315,5.9866,7.05,9.56,5.6696,10.543,12.02,9.44,6.6314,,2.355,2.3391,6.7291,3.7346,7.6779,9.1662,7.5448,16.9825,2.3855,5.18,8.52,4.0478,,,13.2416
1/7/2013,8.0066,7.08,5.78,,4.3154,9.9142,11.8197,2.8593,9.4,3.5573,3.0863,15.492,,5.4224,5.6348,10.6052,4.2391,4.3638,7.5685,6.2653,7.1,9.64,5.7492,10.9653,12.03,9.55,6.7502,,2.365,2.3527,6.769,3.759,7.6975,9.2452,7.5734,17.7174,2.43,5.22,8.7,4.0827,,,13.285
1/8/2013,8.3421,6.97,5.86,,4.3615,9.9142,11.8676,2.899,9.41,3.7812,3.1258,16.1094,,5.5719,5.6052,10.5657,4.2918,4.3789,7.7659,6.2454,7.19,9.56,5.7691,10.8986,11.84,9.5,6.6413,,2.38,2.3753,6.8689,3.7936,8.05,9.336,7.5638,17.2569,2.4547,5.26,8.6,4.0179,,,13.1308
1/9/2013,8.5855,7.03,5.93,,4.3846,10.1976,11.8868,2.9505,9.41,3.971,3.2048,16.3119,,5.6317,5.7038,10.7828,4.3741,4.4314,7.7988,6.32,7.51,10.04,5.8288,11.0097,11.96,9.96,6.8095,,2.38,2.4296,6.9487,3.9464,7.9913,9.711,7.6115,17.0021,2.5017,5.34,8.82,4.0179,,,12.5815
1/10/2013,8.4868,6.86,5.86,,4.3692,10.1195,11.8005,2.9227,9.38,3.932,3.1949,16.2444,,5.6217,5.6446,10.6545,4.3477,4.3939,8.0193,6.2504,7.37,10.11,5.789,10.8838,12.45,9.81,6.7699,,2.39,2.4115,6.8489,4.032,7.9521,9.6321,7.5448,17.2079,2.477,5.39,8.91,4.0328,,,12.6682
1/11/2013,8.4211,6.5,5.76,,4.2077,9.9142,11.5034,2.9069,9.35,3.8834,3.1702,15.8489,,5.5071,5.4177,10.3487,4.147,4.3338,7.8712,6.121,7.02,9.87,5.6895,10.4392,11.99,9.49,6.5522,,2.26,2.3391,6.4395,4.0239,7.7367,9.3557,7.44,16.1593,2.3855,5.37,8.68,3.8484,,,13.2031
1/14/2013,8.954,6.6,5.79,,4.3077,10.2954,11.8005,2.9703,9.83,4.0342,3.269,16.611,,5.6815,5.5854,10.6644,4.3444,4.5141,8.095,6.32,7.24,10.09,5.789,11.106,12.38,9.78,6.7205,,2.315,2.398,6.6292,4.1807,7.9521,9.6636,7.6591,16.7473,2.4844,5.45,8.83,3.9182,,,13.6367
1/15/2013,8.9605,6.81,5.8,,4.4077,10.4468,12.1073,3.0457,9.77,4.1316,3.4962,17.7493,,5.846,5.8025,10.9505,4.4531,4.9647,8.5162,6.5241,7.38,10.5,5.8984,11.4617,12.6,10.17,7.1065,,2.38,2.4387,6.759,4.2989,8.1284,9.9479,7.9639,17.5117,2.5833,5.52,9.01,3.9481,,,13.7235
1/16/2013,8.8355,7.28,5.85,,4.4231,10.481,12.462,3.0695,9.86,4.1267,3.432,18.2316,,5.7663,5.6742,10.8715,4.4695,4.852,8.5392,6.3797,7.38,10.84,5.789,11.2764,12.41,10.57,7.0768,,2.325,2.407,6.7191,4.2785,7.9423,9.8689,7.9735,17.2863,2.6154,5.58,9.01,4.0129,,,13.3476
1/17/2013,8.6711,6.83,5.96,,4.3692,10.3638,12.1456,3.1845,9.75,3.9758,3.3628,16.4084,,5.6118,5.6644,10.7433,4.3477,4.852,8.5392,6.2653,7.2,10.61,5.8089,11.0764,12.22,10.18,7.0867,,2.33,2.4658,6.5793,4.0076,7.8444,9.7623,7.8115,17.2569,2.5437,5.54,8.81,4.0527,,,13.0392
