datetime,order_book_id,symbol,side,position_effect,last_quantity,last_price,transaction_cost
2017-02-27 15:00:00,300106.XSHE,西部牧业,BUY,,400,15.37,5
2017-02-27 15:00:00,002321.XSHE,华英农业,BUY,,300,11.1,5
2017-02-27 15:00:00,CS1711,CS1711,SELL,OPEN,1,2036,1.5
2017-02-27 15:00:00,FG1705,FG1705,SELL,OPEN,1,1351,3
2017-02-27 15:00:00,RM1705,RM1705,SELL,OPEN,1,2411,1.5
2017-02-27 15:00:00,TA1705,TA1705,SELL,OPEN,1,5606,3
2017-02-27 15:00:00,600265.XSHG,ST景谷,BUY,,300,33.98,8.16
2017-02-27 15:00:00,300498.XSHE,温氏股份,BUY,,500,34.08,13.63
2017-02-27 15:00:00,P1709,P1709,SELL,OPEN,1,5622,2.5
2017-02-27 15:00:00,TA1709,TA1709,SELL,OPEN,1,5708,3
2017-02-27 15:00:00,600540.XSHG,新赛股份,BUY,,200,8.18,5
2017-02-27 15:00:00,000998.XSHE,隆平高科,BUY,,1000,19.69,15.75
2017-02-27 15:00:00,WH1705,WH1705,SELL,OPEN,1,3152,2.5
2017-02-27 15:00:00,MA1709,MA1709,SELL,OPEN,1,2842,1.4
2017-02-27 15:00:00,600097.XSHG,开创国际,BUY,,200,21.28,5
2017-02-27 15:00:00,FG1704,FG1704,SELL,OPEN,1,1387,3
2017-02-27 15:00:00,600313.XSHG,农发种业,BUY,,600,6.29,5
2017-02-27 15:00:00,M1801,M1801,SELL,OPEN,1,2935,1.5
2017-02-27 15:00:00,MA1703,MA1703,SELL,OPEN,1,3029,1.4
2017-02-27 15:00:00,WH1707,WH1707,SELL,OPEN,1,2762,2.5
2017-02-27 15:00:00,300143.XSHE,星河生物,BUY,,300,27.38,6.57
2017-02-27 15:00:00,JD1711,JD1711,SELL,OPEN,1,3867,5.8
2017-02-27 15:00:00,TA1801,TA1801,SELL,OPEN,1,5810,3
2017-02-27 15:00:00,JD1802,JD1802,SELL,OPEN,1,3988,5.98
2017-02-27 15:00:00,C1709,--,SELL,OPEN,1,1685,1.2
2017-02-27 15:00:00,RM1801,RM1801,SELL,OPEN,1,2331,1.5
2017-02-27 15:00:00,JD1801,JD1801,SELL,OPEN,1,4134,6.2
2017-02-27 15:00:00,600467.XSHG,好当家,BUY,,300,4.4,5
2017-02-27 15:00:00,P1801,P1801,SELL,OPEN,1,5606,2.5
2017-02-27 15:00:00,MA1705,MA1705,SELL,OPEN,1,2976,1.4
2017-02-27 15:00:00,CS1709,CS1709,SELL,OPEN,1,2054,1.5
2017-02-27 15:00:00,WH1709,WH1709,SELL,OPEN,1,2716,2.5
2017-02-27 15:00:00,C1711,--,SELL,OPEN,1,1727,1.2
2017-02-27 15:00:00,JD1709,JD1709,SELL,OPEN,1,4338,6.51
2017-02-27 15:00:00,600975.XSHG,新五丰,BUY,,200,8.93,5
2017-02-27 15:00:00,FG1801,FG1801,SELL,OPEN,1,1368,3
2017-02-27 15:00:00,002069.XSHE,獐子岛,BUY,,700,11.04,6.18
2017-02-27 15:00:00,002772.XSHE,众兴菌业,BUY,,700,19.65,11
2017-02-27 15:00:00,002086.XSHE,东方海洋,BUY,,600,10.61,5.09
2017-02-27 15:00:00,601118.XSHG,海南橡胶,BUY,,3000,7.29,17.5
2017-02-27 15:00:00,000713.XSHE,丰乐种业,BUY,,1200,10.91,10.47
2017-02-27 15:00:00,RM1703,RM1703,SELL,OPEN,1,2387,1.5
2017-02-27 15:00:00,CS1705,CS1705,SELL,OPEN,1,1914,1.5
2017-02-27 15:00:00,CF1707,CF1707,SELL,OPEN,1,15985,4.3
2017-02-27 15:00:00,RM1708,RM1708,SELL,OPEN,1,2483,1.5
2017-02-27 15:00:00,300087.XSHE,荃银高科,BUY,,100,12.32,5
2017-02-27 15:00:00,JD1705,JD1705,SELL,OPEN,1,3343,5.01
2017-02-27 15:00:00,TA1707,TA1707,SELL,OPEN,1,5672,3
2017-02-27 15:00:00,FG1709,FG1709,SELL,OPEN,1,1393,3
2017-02-27 15:00:00,600965.XSHG,福成股份,BUY,,800,13.95,8.93
2017-02-28 15:00:00,002321.XSHE,华英农业,SELL,,300,11.11,8.33
2017-02-28 15:00:00,FG1705,FG1705,BUY,CLOSE,1,1320,3
2017-02-28 15:00:00,RM1705,RM1705,BUY,CLOSE,1,2396,1.5
2017-02-28 15:00:00,TA1705,TA1705,BUY,CLOSE,1,5568,3
2017-02-28 15:00:00,600265.XSHG,ST景谷,SELL,,300,34.67,18.72
2017-02-28 15:00:00,300498.XSHE,温氏股份,SELL,,500,34.14,30.73
2017-02-28 15:00:00,P1709,P1709,BUY,CLOSE,1,5594,2.5
2017-02-28 15:00:00,TA1709,TA1709,BUY,CLOSE,1,5674,3
2017-02-28 15:00:00,600540.XSHG,新赛股份,SELL,,200,8.2,6.64
2017-02-28 15:00:00,000998.XSHE,隆平高科,SELL,,1000,19.74,35.53
2017-02-28 15:00:00,WH1705,WH1705,BUY,CLOSE,1,3164,2.5
2017-02-28 15:00:00,MA1709,MA1709,BUY,CLOSE,1,2778,1.4
2017-02-28 15:00:00,600097.XSHG,开创国际,SELL,,200,21.21,9.24
2017-02-28 15:00:00,600313.XSHG,农发种业,SELL,,300,6.26,6.88
2017-02-28 15:00:00,M1801,M1801,BUY,CLOSE,1,2931,1.5
2017-02-28 15:00:00,300143.XSHE,星河生物,SELL,,200,27.25,10.45
2017-02-28 15:00:00,TA1801,TA1801,BUY,CLOSE,1,5782,3
2017-02-28 15:00:00,JD1802,JD1802,BUY,CLOSE,1,3996,5.99
2017-02-28 15:00:00,C1709,--,BUY,CLOSE,1,1687,1.2
2017-02-28 15:00:00,600467.XSHG,好当家,SELL,,300,4.39,6.32
2017-02-28 15:00:00,P1801,P1801,BUY,CLOSE,1,5588,2.5
2017-02-28 15:00:00,MA1705,MA1705,BUY,CLOSE,1,2909,1.4
2017-02-28 15:00:00,WH1709,WH1709,BUY,CLOSE,1,2704,2.5
2017-02-28 15:00:00,C1711,--,BUY,CLOSE,1,1727,1.2
2017-02-28 15:00:00,600975.XSHG,新五丰,SELL,,200,8.96,6.79
2017-02-28 15:00:00,FG1801,FG1801,BUY,CLOSE,1,1341,3
2017-02-28 15:00:00,002069.XSHE,獐子岛,SELL,,700,11.26,14.19
2017-02-28 15:00:00,002086.XSHE,东方海洋,SELL,,600,10.62,11.47
2017-02-28 15:00:00,601118.XSHG,海南橡胶,SELL,,2800,7.31,36.84
2017-02-28 15:00:00,000713.XSHE,丰乐种业,SELL,,1200,10.96,23.67
2017-02-28 15:00:00,RM1703,RM1703,BUY,CLOSE,1,2399,1.5
2017-02-28 15:00:00,CF1707,CF1707,BUY,CLOSE,1,16195,4.3
2017-02-28 15:00:00,TA1707,TA1707,BUY,CLOSE,1,5618,3
2017-02-28 15:00:00,FG1709,FG1709,BUY,CLOSE,1,1365,3
2017-02-28 15:00:00,600965.XSHG,福成股份,SELL,,800,13.96,20.1
2017-02-28 15:00:00,300106.XSHE,西部牧业,BUY,,300,15.3,5
2017-02-28 15:00:00,C1801,C1801,SELL,OPEN,1,1745,1.2
2017-02-28 15:00:00,002447.XSHE,壹桥股份,BUY,,100,9.42,5
2017-02-28 15:00:00,JD1710,JD1710,SELL,OPEN,1,3928,5.89
2017-02-28 15:00:00,300313.XSHE,天山生物,BUY,,300,18.55,5
2017-02-28 15:00:00,JD1801,JD1801,SELL,OPEN,1,4141,6.21
2017-02-28 15:00:00,CS1709,CS1709,SELL,OPEN,1,2056,1.5
2017-02-28 15:00:00,JD1709,JD1709,SELL,OPEN,1,4346,6.52
