Date,Price,Return
2014-01-01,2227.44,
2014-01-02,2226.66,-0.000350239
2014-01-03,2188.12,-0.017459977
2014-01-06,2152.32,-0.016496398
2014-01-07,2152.77,0.000209055
2014-01-08,2168.95,0.007487794
2014-01-09,2139.58,-0.013633631
2014-01-10,2134.82,-0.002227214
2014-01-13,2132,-0.001321828
2014-01-14,2140.77,0.004105071
2014-01-15,2146.01,0.002444727
2014-01-16,2147.37,0.000633534
2014-01-17,2133.39,-0.006531574
2014-01-20,2115.65,-0.00835017
2014-01-21,2135.57,0.009371496
2014-01-22,2169.94,0.015965927
2014-01-23,2144.39,-0.011844388
2014-01-24,2130.37,-0.006559456
2014-01-27,2094.68,-0.016894876
2014-01-28,2101.21,0.003112572
2014-01-29,2119.68,0.008751765
2014-01-30,2106.37,-0.006299047
2014-01-31,2104.29,-0.000987969
2014-02-03,2099.13,-0.002455145
2014-02-04,2068.57,-0.014665426
2014-02-05,2063.96,-0.00223108
2014-02-06,2071.66,0.003723751
2014-02-07,2095.92,0.01164238
2014-02-10,2125.99,0.014244978
2014-02-11,2148.51,0.010537002
2014-02-12,2164.44,0.007387089
2014-02-13,2154.44,-0.004630838
2014-02-14,2169.48,0.006956679
2014-02-17,2195.44,0.011894975
2014-02-18,2188.65,-0.003097567
2014-02-19,2195.75,0.003238758
2014-02-20,2173.43,-0.010217109
2014-02-21,2163.85,-0.004417522
2014-02-24,2134.14,-0.013825287
2014-02-25,2094.05,-0.018963765
2014-02-26,2107.57,0.006435635
2014-02-27,2123.13,0.00735579
2014-02-28,2127.17,0.001901043
2014-03-03,2123.33,-0.001806847
2014-03-04,2127.63,0.002023073
2014-03-05,2116.35,-0.005315777
2014-03-06,2131.16,0.006973526
2014-03-07,2126.64,-0.002123163
2014-03-10,2069.26,-0.027352214
2014-03-11,2068.87,-0.000188491
2014-03-12,2054,-0.007213453
2014-03-13,2056.51,0.00122126
2014-03-14,2034.72,-0.010652154
2014-03-17,2039.18,0.002189549
2014-03-18,2047.4,0.004022929
2014-03-19,2036.14,-0.005514837
2014-03-20,1994.37,-0.020727648
2014-03-21,2036.27,0.020791492
2014-03-24,2067.22,0.015085007
2014-03-25,2055.51,-0.005680717
2014-03-26,2059.29,0.001837271
2014-03-27,2043.22,-0.007834268
2014-03-28,2055.37,0.005928886
2014-03-31,2060.75,0.002614114
2014-04-01,2083.75,0.011099161
2014-04-02,2086.27,0.001208627
2014-04-03,2077.58,-0.004174028
2014-04-04,2075.76,-0.000876403
2014-04-07,2070.67,-0.002455125
2014-04-08,2116,0.021655288
2014-04-09,2131.55,0.007321901
2014-04-10,2153.32,0.010161423
2014-04-11,2133.02,-0.009472021
2014-04-14,2133.72,0.000328119
2014-04-15,2099.2,-0.016310616
2014-04-16,2102.47,0.001556524
2014-04-17,2104.99,0.001197872
2014-04-18,2105.56,0.000270748
2014-04-21,2090.04,-0.00739826
2014-04-22,2089.08,-0.000459427
2014-04-23,2077.46,-0.005577784
2014-04-24,2071.3,-0.002969564
2014-04-25,2042.43,-0.014036154
2014-04-28,2010.22,-0.015896107
2014-04-29,2034.56,0.01203541
2014-04-30,2023.25,-0.00557445
2014-05-01,2026.52,0.001614907
2014-05-02,2031.98,0.002690651
2014-05-05,2029.88,-0.001034009
2014-05-06,2032.49,0.001284964
2014-05-07,2002.56,-0.01483528
2014-05-08,2006.81,0.002120035
2014-05-09,2003.16,-0.001820463
2014-05-12,2044.3,0.020329499
2014-05-13,2044.58,0.000136957
2014-05-14,2055.06,0.005112655
2014-05-15,2047.13,-0.003866232
2014-05-16,2043.29,-0.001877558
2014-05-19,2031.23,-0.005919733
2014-05-20,2035,0.001854298
2014-05-21,2053.51,0.009054705
2014-05-22,2061.31,0.003791179
2014-05-23,2071.37,0.004868521
2014-05-26,2077.41,0.002911701
2014-05-27,2068.6,-0.004249876
2014-05-28,2083.08,0.006975518
2014-05-29,2073.66,-0.004532406
